Burning Time; Firing Node; Firing Neuron; Burning Node; Burning Neuron;External Source; From Internal State; To Internal State; Step in State; Post Synaptic Weight; Pre Synaptic Weight; Instant to Fire; (Afferent) Firing Time
0.2; 0; 105; 0; 5; true; 0.3232248563698868; 0.3982248563698869; 0.075; 1; 0.075;-1;0.2
1.2; 1; 115; 1; 15; true; 0.0622486451515418; 0.1362486451515418; 0.074; 1; 0.074;-1;1.2
0.2; 2; 122; 2; 22; true; 0.5293016039917526; 0.6033016039917526; 0.074; 1; 0.074;-1;0.2
0.2; 0; 111; 0; 11; true; 0.3325627715961572; 0.4075627715961572; 0.075; 1; 0.075;-1;0.2
1.2; 1; 103; 1; 3; true; 0.9567256532474937; 1.0307256532474938; 0.074; 1; 0.074;-1;1.2
0.2; 2; 102; 2; 2; true; 0.5448853365300248; 0.6188853365300248; 0.074; 1; 0.074;-1;0.2
0.2; 0; 123; 0; 23; true; 0.0694575691781954; 0.1444575691781954; 0.075; 1; 0.075;-1;0.2
0.2; 2; 105; 2; 5; true; 0.956228434953345; 1.030228434953345; 0.074; 1; 0.074;-1;0.2
0.2; 0; 147; 0; 47; true; 0.419477860126438; 0.494477860126438; 0.075; 1; 0.075;-1;0.2
0.2; 2; 111; 2; 11; true; 0.4355007361824178; 0.5095007361824178; 0.074; 1; 0.074;-1;0.2
0.2; 0; 148; 0; 48; true; 0.619052437714674; 0.694052437714674; 0.075; 1; 0.075;-1;0.2
0.2; 2; 123; 2; 23; true; 0.6136520046482894; 0.6876520046482894; 0.074; 1; 0.074;-1;0.2
0.2; 0; 124; 0; 24; true; 0.2107776216869371; 0.2857776216869372; 0.075; 1; 0.075;-1;0.2
0.2; 2; 124; 2; 24; true; 0.0429002050950223; 0.1169002050950222; 0.074; 1; 0.074;-1;0.2
0.2; 0; 112; 0; 12; true; 0.2520794750700046; 0.3270794750700046; 0.075; 1; 0.075;-1;0.2
0.2; 2; 112; 2; 12; true; 0.9435187621945512; 1.0175187621945512; 0.074; 1; 0.074;-1;0.2
0.2; 0; 125; 0; 25; true; 0.0251786891020723; 0.1001786891020723; 0.075; 1; 0.075;-1;0.2
0.2; 0; 126; 0; 26; true; 0.0161602314401255; 0.0911602314401255; 0.075; 1; 0.075;-1;0.2
0.2; 0; 106; 0; 6; true; 0.2446619725661729; 0.319661972566173; 0.075; 1; 0.075;-1;0.2
0.2; 0; 113; 0; 13; true; 0.9693343591542236; 1.0443343591542236; 0.075; 1; 0.075;22.755869061315476;0.2
0.2; 0; 127; 0; 27; true; 0.4956620529604544; 0.5706620529604544; 0.075; 1; 0.075;-1;0.2
0.2; 0; 128; 0; 28; true; 0.7122306724441348; 0.7872306724441348; 0.075; 1; 0.075;-1;0.2
0.2; 0; 114; 0; 14; true; 0.6585399239954273; 0.7335399239954272; 0.075; 1; 0.075;-1;0.2
0.2; 0; 129; 0; 29; true; 0.1702505190012301; 0.2452505190012301; 0.075; 1; 0.075;-1;0.2
0.2; 0; 130; 0; 30; true; 0.1985260057294244; 0.2735260057294244; 0.075; 1; 0.075;-1;0.2
1.2; 0; 129; 0; 29; true; 0.1752505190012301; 0.2502505190012301; 0.075; 1; 0.075;-1;1.2
