Firing Time, Firing Node, Firing Neuron,  Neuron Type, External Source
0, 1, 3430, inhibitory, true
0, 1, 1478, inhibitory, true
0, 1, 1757, inhibitory, true
0, 1, 2315, inhibitory, true
0, 1, 3431, inhibitory, true
0, 1, 3432, inhibitory, true
0, 1, 2316, inhibitory, true
0, 1, 3433, inhibitory, true
0, 1, 3434, inhibitory, true
0, 1, 1758, inhibitory, true
0, 1, 2317, inhibitory, true
0, 1, 3435, inhibitory, true
0, 1, 3436, inhibitory, true
0, 1, 2318, inhibitory, true
0, 1, 3437, inhibitory, true
0, 1, 3438, inhibitory, true
0, 1, 1234, inhibitory, true
0, 1, 1269, inhibitory, true
0, 1, 1339, inhibitory, true
0, 1, 1479, inhibitory, true
0, 1, 1759, inhibitory, true
0, 1, 2319, inhibitory, true
0, 1, 3439, inhibitory, true
0, 1, 3440, inhibitory, true
0, 1, 2320, inhibitory, true
0, 1, 3441, inhibitory, true
0, 1, 3442, inhibitory, true
0, 1, 1760, inhibitory, true
0, 1, 2321, inhibitory, true
0, 1, 3443, inhibitory, true
0, 1, 3444, inhibitory, true
0, 1, 2322, inhibitory, true
0, 1, 3445, inhibitory, true
0, 1, 3446, inhibitory, true
0, 1, 1480, inhibitory, true
0, 1, 1761, inhibitory, true
0, 1, 2323, inhibitory, true
0, 1, 3447, inhibitory, true
0, 1, 3448, inhibitory, true
0, 1, 2324, inhibitory, true
0, 1, 3449, inhibitory, true
0, 1, 3450, inhibitory, true
0, 1, 1762, inhibitory, true
0, 1, 2325, inhibitory, true
0, 1, 3451, inhibitory, true
0, 1, 3452, inhibitory, true
0, 1, 2326, inhibitory, true
0, 1, 3453, inhibitory, true
0, 1, 3454, inhibitory, true
0, 1, 1340, inhibitory, true
0, 1, 1481, inhibitory, true
0, 1, 1763, inhibitory, true
0, 1, 2327, inhibitory, true
0, 1, 3455, inhibitory, true
0, 1, 3456, inhibitory, true
0, 1, 2328, inhibitory, true
0, 1, 3457, inhibitory, true
0, 1, 3458, inhibitory, true
0, 1, 1764, inhibitory, true
0, 1, 2329, inhibitory, true
0, 1, 3459, inhibitory, true
0, 1, 3460, inhibitory, true
0, 1, 2330, inhibitory, true
0, 1, 3461, inhibitory, true
0, 1, 3462, inhibitory, true
0, 1, 1482, inhibitory, true
0, 1, 1765, inhibitory, true
0, 1, 2331, inhibitory, true
0, 1, 3463, inhibitory, true
0, 1, 3464, inhibitory, true
0, 1, 2332, inhibitory, true
0, 1, 3465, inhibitory, true
0, 1, 3466, inhibitory, true
0, 1, 1766, inhibitory, true
0, 1, 2333, inhibitory, true
0, 1, 3467, inhibitory, true
0, 1, 3468, inhibitory, true
0, 1, 2334, inhibitory, true
0, 1, 3469, inhibitory, true
0, 1, 3470, inhibitory, true
0, 1, 1270, inhibitory, true
0, 1, 1341, inhibitory, true
0, 1, 1483, inhibitory, true
0, 1, 1767, inhibitory, true
0, 1, 2335, inhibitory, true
0, 1, 3471, inhibitory, true
0, 1, 3472, inhibitory, true
0, 1, 2336, inhibitory, true
0, 1, 3473, inhibitory, true
0, 1, 3474, inhibitory, true
0, 1, 1768, inhibitory, true
0, 1, 2337, inhibitory, true
0, 1, 3475, inhibitory, true
0, 1, 3476, inhibitory, true
0, 1, 2338, inhibitory, true
0, 1, 3477, inhibitory, true
0, 1, 3478, inhibitory, true
0, 1, 1484, inhibitory, true
0, 1, 1769, inhibitory, true
0, 1, 2339, inhibitory, true
0, 1, 3479, inhibitory, true
0, 1, 3480, inhibitory, true
0, 1, 2340, inhibitory, true
0, 1, 3481, inhibitory, true
0, 1, 3482, inhibitory, true
0, 1, 1770, inhibitory, true
0, 1, 2341, inhibitory, true
0, 1, 3483, inhibitory, true
0, 1, 3484, inhibitory, true
0, 1, 2342, inhibitory, true
0, 1, 3485, inhibitory, true
0, 1, 3486, inhibitory, true
0, 1, 1342, inhibitory, true
0, 1, 1485, inhibitory, true
0, 1, 1771, inhibitory, true
0, 1, 2343, inhibitory, true
0, 1, 3487, inhibitory, true
0, 1, 3488, inhibitory, true
0, 1, 2344, inhibitory, true
0, 1, 3489, inhibitory, true
0, 1, 3490, inhibitory, true
0, 1, 1772, inhibitory, true
0, 1, 2345, inhibitory, true
0, 1, 3491, inhibitory, true
0, 1, 3492, inhibitory, true
0, 1, 2346, inhibitory, true
0, 1, 3493, inhibitory, true
0, 1, 3494, inhibitory, true
0, 1, 1486, inhibitory, true
0, 1, 1773, inhibitory, true
0, 1, 2347, inhibitory, true
0, 1, 3495, inhibitory, true
0, 1, 3496, inhibitory, true
0, 1, 2348, inhibitory, true
0, 1, 3497, inhibitory, true
0, 1, 3498, inhibitory, true
0, 1, 1774, inhibitory, true
0, 1, 2349, inhibitory, true
0, 1, 3499, inhibitory, true
0, 1, 3500, inhibitory, true
0, 1, 2350, inhibitory, true
0, 1, 3501, inhibitory, true
0, 1, 3502, inhibitory, true
0, 1, 1208, inhibitory, true
0, 1, 1217, inhibitory, true
0, 1, 1235, inhibitory, true
0, 1, 1271, inhibitory, true
0, 1, 1343, inhibitory, true
0, 1, 1487, inhibitory, true
0, 1, 1775, inhibitory, true
0, 1, 2351, inhibitory, true
0, 1, 3503, inhibitory, true
0, 1, 3504, inhibitory, true
0, 1, 2352, inhibitory, true
0, 1, 3505, inhibitory, true
0, 1, 3506, inhibitory, true
0, 1, 1776, inhibitory, true
0, 1, 2353, inhibitory, true
0, 1, 3507, inhibitory, true
0, 1, 3508, inhibitory, true
0, 1, 2354, inhibitory, true
0, 1, 3509, inhibitory, true
0, 1, 3510, inhibitory, true
0, 1, 1488, inhibitory, true
0, 1, 1777, inhibitory, true
0, 1, 2355, inhibitory, true
0, 1, 3511, inhibitory, true
0, 1, 3512, inhibitory, true
0, 1, 2356, inhibitory, true
0, 1, 3513, inhibitory, true
